District,School Name,Type,nearest_station_name,distance_km,pm25_mean_winter,pm25_mean_monsoon,pm25_winter_minus_monsoon,pm25_winter_to_monsoon_ratio
East,ARUNODAYA PUBLIC SCHOOL,Unaided,Anand Vihar,1.611,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,VIVEKANAND PUBLIC SCHOOL,Unaided,Anand Vihar,0.788,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,VIVEKANAND INTERNATIONAL SCHOOL,Unaided,Anand Vihar,1.755,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,Gazipur-GBSSS,Govt,Anand Vihar,1.292,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,Kala Niketan International School,Unaided,Anand Vihar,1.874,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,LAXMI PUBLIC SR. SEC. SCHOOL,Unaided,Anand Vihar,2.028,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,LOVELY PUBLIC SENIOR SECONDARY SCHOOL,Unaided,Anand Vihar,2.858,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,DAV PUBLIC SCHOOL,Unaided,Anand Vihar,1.241,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,St. Mary Secondary School,Unaided,Anand Vihar,4.651,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,SALWAN PUBLIC SCHOOL,Unaided,Anand Vihar,4.819,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,HILLWOODS ACADEMY,Unaided,Anand Vihar,1.696,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,MODERN MONTESSORI SCHOOL,Unaided,Anand Vihar,1.538,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,ANGLO INDIAN PUBLIC SCHOOL,Unaided,Anand Vihar,3.928,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,Anand Vihar - SBV,Govt,Anand Vihar,0.546,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,SARDAR PATEL MODERN SCHOOL,Unaided,Anand Vihar,3.97,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,Anand Vihar-SKV,Govt,Anand Vihar,0.554,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,Gazipur-SKV,Govt,Anand Vihar,1.296,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,Happy English School,Unaided,Anand Vihar,1.301,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,Kiran Vihar-SBV,Govt,Anand Vihar,1.497,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,LAV KUSH PUBLIC SCHOOL,Unaided,Anand Vihar,3.951,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,BHAI PARMAMAND VIDYA MANDIR,Unaided,Anand Vihar,1.325,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,Kiran Vihar-SKV,Govt,Anand Vihar,1.541,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,RYAN INTERNATIONAL SCHOOL,Unaided,Anand Vihar,4.267,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,G D Goenka Public School,Unaided,Anand Vihar,0.881,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,"Patparganj, I.P. Extn- Sarvodaya (Co-ed) SSS",Govt,Anand Vihar,1.833,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,ST. JOSEPHS ACADEMY,Unaided,Anand Vihar,1.373,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,SNEH International School,Unaided,Anand Vihar,2.093,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,BHARAT NATIONAL PUBLIC SCHOOL,Unaided,Anand Vihar,1.412,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,Vanasthali Public School,Unaided,Anand Vihar,4.13,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,"Khichripur Village, J.J.Colony- SBV",Govt,Anand Vihar,2.576,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,MAYO INTERNATIONAL SCHOOL,Unaided,Anand Vihar,1.83,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,Dinkar National Model School,Unaided,Anand Vihar,3.947,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,NATIONAL VICTOR PUBLIC SCHOOL,Unaided,Anand Vihar,1.801,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,Guru Harkrishan Public School,Unaided,Anand Vihar,1.528,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,VIVEKANAND SCHOOL,Unaided,Anand Vihar,0.655,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,"SOSE, I.P Extension",Govt,Anand Vihar,1.846,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,SAINT RAMAN SCHOOL,Unaided,Anand Vihar,4.233,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,Shaheed Rajpal DAV Public School,Unaided,Anand Vihar,1.167,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,Surajmal Vihar–SBV,Govt,Anand Vihar,1.485,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,"CM Shri School, I.P.Extension-1002399",Govt,Anand Vihar,1.846,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,ST. ANDREWS SCOTS SCHOOL,Unaided,Anand Vihar,2.439,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,Surajmal Vihar-SKV,Govt,Anand Vihar,1.433,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
East,MARY CONVENT SCHOOL,Unaided,Anand Vihar,2.55,216.1478409090909,49.62141304347826,166.52642786561262,4.355938850828416
North West A,"Jahangirpuri, Block A- SBV",Govt,Jahangirpuri,0.68,209.99755555555555,59.67521739130434,150.32233816425122,3.519007801489059
North,OSCAR PUBLIC SCHOOL,Unaided,Jahangirpuri,2.895,209.99755555555555,59.67521739130434,150.32233816425122,3.519007801489059
North West A,"CM SHRI School, Libaspur, Village Libaspur",Govt,Jahangirpuri,3.241,209.99755555555555,59.67521739130434,150.32233816425122,3.519007801489059
North West A,"Govt. Boys Sr. SEc. School, Bhalswa Village",Govt,Jahangirpuri,2.683,209.99755555555555,59.67521739130434,150.32233816425122,3.519007801489059
North West A,Kewal Park-G(Co-ed)SSS,Govt,Jahangirpuri,1.465,209.99755555555555,59.67521739130434,150.32233816425122,3.519007801489059
North West A,"Jahangirpuri, Block A, No.2 - SKV",Govt,Jahangirpuri,0.684,209.99755555555555,59.67521739130434,150.32233816425122,3.519007801489059
North West A,"Bhalswa Village, Sarvodaya Kanya Vidyalaya-1309280",Govt,Jahangirpuri,2.683,209.99755555555555,59.67521739130434,150.32233816425122,3.519007801489059
